"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Magetan";"62168";"0";"November 2018"
"Malang";"75336";"62";"November 2018"
"Mojokerto";"150215";"74";"November 2018"
"Nganjuk";"33265";"0";"November 2018"
"Ngawi";"41968";"0";"November 2018"
"Pacitan";"101113";"113";"November 2018"
"Pamekasan";"16990";"0";"November 2018"
"Pasuruan";"230862";"1564";"November 2018"
"Ponorogo";"36229";"0";"November 2018"
"Probolinggo";"64974";"4091";"November 2018"
"Sampang";"39275";"0";"November 2018"
"Sidoarjo";"111425";"710";"November 2018"
"Situbondo";"38963";"113";"November 2018"
"Sumenep";"109964";"145";"November 2018"
"Trenggalek";"50077";"0";"November 2018"
"Tuban";"554636";"25";"November 2018"
"Tulungagung";"74799";"0";"November 2018"
"Kota Batu";"395003";"284";"November 2018"
"Kota Blitar";"191905";"42";"November 2018"
"Kota Kediri";"11395";"0";"November 2018"
"Kota Madiun";"6200";"0";"November 2018"
"Kota Malang";"211729";"7908";"November 2018"
"Kota Mojokerto";"3651";"0";"November 2018"
"Kota Pasuruan";"55245";"3";"November 2018"
"Kota Probolinggo";"41109";"48";"November 2018"
"Kota Surabaya";"213963";"2164";"November 2018"
"Bangkalan";"148006";"22";"Desember 2018"
"Banyuwangi";"403257";"14687";"Desember 2018"
"Blitar";"315648";"21";"Desember 2018"
"Bojonegoro";"71500";"0";"Desember 2018"
"Bondowoso";"32883";"3596";"Desember 2018"
"Gresik";"405608";"2058";"Desember 2018"
"Jember";"99035";"55";"Desember 2018"
"Jombang";"181685";"0";"Desember 2018"
"Kediri";"358940";"12";"Desember 2018"
"Lamongan";"331715";"11";"Desember 2018"
"Lumajang";"229136";"1116";"Desember 2018"
"Madiun";"73285";"0";"Desember 2018"
"Magetan";"134587";"0";"Desember 2018"
"Malang";"49936";"226";"Desember 2018"
"Mojokerto";"127049";"77";"Desember 2018"
"Nganjuk";"62170";"0";"Desember 2018"
"Ngawi";"83885";"0";"Desember 2018"
"Pacitan";"170278";"69";"Desember 2018"
"Pamekasan";"17974";"0";"Desember 2018"
"Pasuruan";"230874";"1584";"Desember 2018"
